Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Branch and Bound,17,666,"[0, 1, 5, 8, 11, 3, 9, 10, 14, 13, 4, 6, 12, 7, 2, 16, 15, 0]",55.0,3,0.20669129997259006
Branch and Bound,17,666,"[0, 1, 5, 8, 11, 3, 9, 10, 14, 13, 4, 6, 12, 7, 2, 16, 15, 0]",55.0,4,0.2058878000243567
Branch and Bound,18,666,"[0, 1, 12, 9, 16, 8, 10, 3, 6, 5, 7, 14, 15, 4, 11, 13, 17, 2, 0]",56.0,0,1.2268807999789715
Branch and Bound,18,666,"[0, 1, 12, 9, 16, 8, 10, 3, 6, 5, 7, 14, 15, 4, 11, 13, 17, 2, 0]",56.0,1,1.219505899993237
Branch and Bound,18,666,"[0, 1, 12, 9, 16, 8, 10, 3, 6, 5, 7, 14, 15, 4, 11, 13, 17, 2, 0]",56.0,2,1.2328110000235029
Branch and Bound,18,666,"[0, 1, 12, 9, 16, 8, 10, 3, 6, 5, 7, 14, 15, 4, 11, 13, 17, 2, 0]",56.0,3,1.2186296000145376
Branch and Bound,18,666,"[0, 1, 12, 9, 16, 8, 10, 3, 6, 5, 7, 14, 15, 4, 11, 13, 17, 2, 0]",56.0,4,1.2249005999765359
Branch and Bound,19,666,"[0, 14, 7, 13, 6, 5, 1, 11, 15, 10, 9, 12, 4, 16, 3, 8, 17, 2, 18, 0]",59.0,0,4.889179699996021
Branch and Bound,19,666,"[0, 14, 7, 13, 6, 5, 1, 11, 15, 10, 9, 12, 4, 16, 3, 8, 17, 2, 18, 0]",59.0,1,4.902703300002031
Branch and Bound,19,666,"[0, 14, 7, 13, 6, 5, 1, 11, 15, 10, 9, 12, 4, 16, 3, 8, 17, 2, 18, 0]",59.0,2,4.899553299997933
Branch and Bound,19,666,"[0, 14, 7, 13, 6, 5, 1, 11, 15, 10, 9, 12, 4, 16, 3, 8, 17, 2, 18, 0]",59.0,3,4.906310999998823
Branch and Bound,19,666,"[0, 14, 7, 13, 6, 5, 1, 11, 15, 10, 9, 12, 4, 16, 3, 8, 17, 2, 18, 0]",59.0,4,4.894334100012202
Branch and Bound,20,666,"[0, 1, 10, 7, 18, 17, 14, 11, 4, 16, 3, 5, 13, 12, 9, 2, 19, 8, 15, 6, 0]",62.0,0,29.594810499984305
Branch and Bound,20,666,"[0, 1, 10, 7, 18, 17, 14, 11, 4, 16, 3, 5, 13, 12, 9, 2, 19, 8, 15, 6, 0]",62.0,1,29.625934000010602
