Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Beam Search,15,666,"[0, 14, 3, 12, 5, 9, 13, 7, 10, 11, 1, 4, 6, 8, 2, 0]",50.0,1,0.022855699993669987
Beam Search,15,666,"[0, 14, 3, 12, 5, 9, 13, 7, 10, 11, 1, 4, 6, 8, 2, 0]",50.0,2,0.022798499965574592
Beam Search,15,666,"[0, 14, 3, 12, 5, 9, 13, 7, 10, 11, 1, 4, 6, 8, 2, 0]",50.0,3,0.02259300003061071
Beam Search,15,666,"[0, 14, 3, 12, 5, 9, 13, 7, 10, 11, 1, 4, 6, 8, 2, 0]",50.0,4,0.02256919996580109
Beam Search,16,666,"[0, 14, 3, 7, 2, 9, 5, 10, 11, 8, 13, 4, 1, 6, 15, 12, 0]",75.0,0,0.0293872999609448
Beam Search,16,666,"[0, 14, 3, 7, 2, 9, 5, 10, 11, 8, 13, 4, 1, 6, 15, 12, 0]",75.0,1,0.029510200023651123
Beam Search,16,666,"[0, 14, 3, 7, 2, 9, 5, 10, 11, 8, 13, 4, 1, 6, 15, 12, 0]",75.0,2,0.02923230000305921
Beam Search,16,666,"[0, 14, 3, 7, 2, 9, 5, 10, 11, 8, 13, 4, 1, 6, 15, 12, 0]",75.0,3,0.0291593000292778
Beam Search,16,666,"[0, 14, 3, 7, 2, 9, 5, 10, 11, 8, 13, 4, 1, 6, 15, 12, 0]",75.0,4,0.029427299974486232
Beam Search,17,666,"[0, 1, 5, 8, 11, 3, 9, 10, 14, 13, 4, 6, 12, 7, 2, 16, 15, 0]",55.0,0,0.03739079996012151
Beam Search,17,666,"[0, 1, 5, 8, 11, 3, 9, 10, 14, 13, 4, 6, 12, 7, 2, 16, 15, 0]",55.0,1,0.037157899991143495
Beam Search,17,666,"[0, 1, 5, 8, 11, 3, 9, 10, 14, 13, 4, 6, 12, 7, 2, 16, 15, 0]",55.0,2,0.03762710001319647
Beam Search,17,666,"[0, 1, 5, 8, 11, 3, 9, 10, 14, 13, 4, 6, 12, 7, 2, 16, 15, 0]",55.0,3,0.037823100050445646
Beam Search,17,666,"[0, 1, 5, 8, 11, 3, 9, 10, 14, 13, 4, 6, 12, 7, 2, 16, 15, 0]",55.0,4,0.037141599983442575
Beam Search,18,666,"[0, 1, 12, 9, 16, 8, 4, 11, 10, 3, 6, 13, 17, 2, 5, 7, 14, 15, 0]",57.0,0,0.04738960001850501
Beam Search,18,666,"[0, 1, 12, 9, 16, 8, 4, 11, 10, 3, 6, 13, 17, 2, 5, 7, 14, 15, 0]",57.0,1,0.047094899986404926
Beam Search,18,666,"[0, 1, 12, 9, 16, 8, 4, 11, 10, 3, 6, 13, 17, 2, 5, 7, 14, 15, 0]",57.0,2,0.0469374000094831
Beam Search,18,666,"[0, 1, 12, 9, 16, 8, 4, 11, 10, 3, 6, 13, 17, 2, 5, 7, 14, 15, 0]",57.0,3,0.04706030001398176
Beam Search,18,666,"[0, 1, 12, 9, 16, 8, 4, 11, 10, 3, 6, 13, 17, 2, 5, 7, 14, 15, 0]",57.0,4,0.046689199982210994
Beam Search,19,666,"[0, 14, 8, 10, 1, 11, 15, 7, 13, 6, 5, 18, 12, 17, 9, 4, 16, 3, 2, 0]",70.0,0,0.05849359999410808
Beam Search,19,666,"[0, 14, 8, 10, 1, 11, 15, 7, 13, 6, 5, 18, 12, 17, 9, 4, 16, 3, 2, 0]",70.0,1,0.058344599965494126
Beam Search,19,666,"[0, 14, 8, 10, 1, 11, 15, 7, 13, 6, 5, 18, 12, 17, 9, 4, 16, 3, 2, 0]",70.0,2,0.05850829998962581
Beam Search,19,666,"[0, 14, 8, 10, 1, 11, 15, 7, 13, 6, 5, 18, 12, 17, 9, 4, 16, 3, 2, 0]",70.0,3,0.05848200002219528
Beam Search,19,666,"[0, 14, 8, 10, 1, 11, 15, 7, 13, 6, 5, 18, 12, 17, 9, 4, 16, 3, 2, 0]",70.0,4,0.058266200008802116
Beam Search,20,666,"[0, 1, 10, 9, 2, 19, 8, 17, 14, 11, 4, 16, 7, 18, 3, 5, 13, 12, 15, 6, 0]",69.0,0,0.07163740001851693
Beam Search,20,666,"[0, 1, 10, 9, 2, 19, 8, 17, 14, 11, 4, 16, 7, 18, 3, 5, 13, 12, 15, 6, 0]",69.0,1,0.0718586000148207
Beam Search,20,666,"[0, 1, 10, 9, 2, 19, 8, 17, 14, 11, 4, 16, 7, 18, 3, 5, 13, 12, 15, 6, 0]",69.0,2,0.07288289995631203
Beam Search,20,666,"[0, 1, 10, 9, 2, 19, 8, 17, 14, 11, 4, 16, 7, 18, 3, 5, 13, 12, 15, 6, 0]",69.0,3,0.0717712999903597
Beam Search,20,666,"[0, 1, 10, 9, 2, 19, 8, 17, 14, 11, 4, 16, 7, 18, 3, 5, 13, 12, 15, 6, 0]",69.0,4,0.07199889997718856
Beam Search,5,2137,"[0, 1, 3, 2, 4, 0]",64.0,0,0.00019509997218847275
Beam Search,5,2137,"[0, 1, 3, 2, 4, 0]",64.0,1,0.00018930004443973303
Beam Search,5,2137,"[0, 1, 3, 2, 4, 0]",64.0,2,0.00019190000602975488
Beam Search,5,2137,"[0, 1, 3, 2, 4, 0]",64.0,3,0.00018569995881989598
Beam Search,5,2137,"[0, 1, 3, 2, 4, 0]",64.0,4,0.00018620002083480358
Beam Search,10,2137,"[0, 1, 6, 9, 2, 3, 4, 7, 8, 5, 0]",65.0,0,0.004451999964658171
Beam Search,10,2137,"[0, 1, 6, 9, 2, 3, 4, 7, 8, 5, 0]",65.0,1,0.00446999998530373
Beam Search,10,2137,"[0, 1, 6, 9, 2, 3, 4, 7, 8, 5, 0]",65.0,2,0.004285300034098327
Beam Search,10,2137,"[0, 1, 6, 9, 2, 3, 4, 7, 8, 5, 0]",65.0,3,0.004249499994330108
Beam Search,10,2137,"[0, 1, 6, 9, 2, 3, 4, 7, 8, 5, 0]",65.0,4,0.004297699953895062
Beam Search,11,2137,"[0, 1, 7, 8, 3, 5, 10, 9, 4, 2, 6, 0]",66.0,0,0.0067814000067301095
Beam Search,11,2137,"[0, 1, 7, 8, 3, 5, 10, 9, 4, 2, 6, 0]",66.0,1,0.006434000039007515
Beam Search,11,2137,"[0, 1, 7, 8, 3, 5, 10, 9, 4, 2, 6, 0]",66.0,2,0.0065708999754861
